StartupName;Industries;HeadquartersLocation;Description;LastFundingDate;LastFundingAmount;NumberofFundingRounds;LastFundingType;StartupCountry;GeographyRegion;Top5Investors
Lincon Health;Health Care;Florianópolis Santa Catarina Brazil;Lincon Health provides digital therapy that transforms the way people with diabetes and hypertension deal with their health.;2022-08-01;4821;3;Pre-Seed;BR;Latin America;FEA Angels Eder Medeiros MG Tech
Diário Escola;Apps Information Services Mobile;Canoas Rio Grande do Sul Brazil;Diário Escola is an electronic calendar service for smartphones tablets & web that allows direct communication between school and parents.;2020-10-01;4430;2;Pre-Seed;BR;Latin America;WOW Aceleradora FEA Angels
Origino;Agriculture Farming Retail;Tandil Buenos Aires Argentina;Origino provides supply chain traceability to gather data on agricultural products from the source to the retail level.;2023-04-17;4000;1;Grant;AR;Latin America;Posner Foundation
Botanitec;Agriculture Biotechnology;Rocas De Santo Domingo Valparaiso Chile;Botanitec designs and produces the biotechnological solutions for the agricultural industry.;2023-04-17;4000;1;Grant;CL;Latin America;Posner Foundation
Nexa Tecnologia;Information Services Information Technology Outsourcing;Vitória Piaui Brazil;Nexa Tecnologia specializes in IT solutions projects outsourcing and call centres.;2022-07-18;3678;1;Pre-Seed;BR;Latin America;Thiago Gomes Ana Beatriz
THOD - TRIP HOBBIES AND OUTDOORS;Adventure Travel Information Technology Marketplace Tourism Travel Agency;Belo Horizonte Minas Gerais Brazil;Marketplace Tourism Promotion Plataform;2022-07-13;3338;1;Seed;BR;Latin America;
Nuvem Horizon;;Tabuleiro Do Norte Ceara Brazil;Horizon Cloud takes gaming to the cloud with incredible virtual machines and games.;2023-04-19;3007;1;Angel;BR;Latin America;Nanuy Souza
Rainbow Cloud Game;Information Technology Software;Diadema Sao Paulo Brazil;Rainbow Cloud Game is an innovative software technology company that leverages cloud solutions specifically (SaaS  Startup).;2023-03-22;2432;1;Angel;BR;Latin America;Emanuel Maciel
Power Solutions Solar;Clean Energy Environmental Consulting Facilities Support Services Solar Sustainability;Parnaíba Piaui Brazil;Empresa de limpeza e manutenção de usinas solares;2023-11-22;2038;1;Pre-Seed;BR;Latin America;Google
Sagy;Information Technology SaaS;Medellín Antioquia Colombia;Utility bill optimization for businesses without upfront costs. If you don’t save you don’t pay.;2022-11-01;2013;2;Grant;CO;Latin America;
ASPPIBRA-DAO;Bitcoin Blockchain Cryptocurrency Decentralized Finance (DeFi) Real Estate Social Network Web Development Web3;Rio De Janeiro Rio de Janeiro Brazil;Web Application and Blockchain;2023-02-11;2000;2;Seed;BR;Latin America;
sonGain;Music;Bogotá Distrito Especial Colombia;The ideal platform to support emerging musical artists;2022-12-01;2000;2;Pre-Seed;CO;Latin America;Cube Ventures VC Firm
Voum;Delivery Service E-Commerce Food Delivery;Port Leogane Ouest Haiti;On demand food delivery and grocery in Haiti .;2020-11-22;1556;1;Pre-Seed;HT;Latin America;
Business App;Apps Financial Services;Medellín Antioquia Colombia;IA Stock Broker Advisor that uses a Financial Algorithm SAM (System Algorithmic Monitored) that provides Investment Opportunities in Market.;2022-02-07;1500;1;Grant;CO;Latin America;Ruta N
CelerSMS;Internet of Things Location Based Services Mobile Apps Software Telecommunications;Bogotá Distrito Especial Colombia;CelerSMS provides business solutions for IoT M2M and communication technologies.;2020-08-01;1336;2;Undisclosed;CO;Latin America;Victor Celer
CAMPITO EL LAUREL;Agriculture AgTech Animal Feed;Daule Guayas Ecuador;Comercializadora de insumos y equipos agrícolas. Desarrollo de proyectos agrícolas huertos y sistemas de riego en la agricultura.;2023-08-24;1000;1;Seed;EC;Latin America;
Veo365;Biotechnology Electronic Health Record (EHR) Health Care Information Technology Medical Wellness;Lima Lima Peru;Veo365 is a mobile/desktop solution for medical monitoring health education/prevention and real-time operational standards.;2023-08-25;1000;2;Seed;PE;Latin America;Martin Torres Cava
Everest;Consulting;Villa Del Lago Cordoba Argentina;Everest provides business development and administration services.;2022-05-18;1000;1;Pre-Seed;AR;Latin America;B Capital
Portico Exchange;Bitcoin Blockchain Financial Exchanges Financial Services FinTech Software;San Salvador San Salvador El Salvador;Exchange Decentralized on Lightning Network;2022-05-06;1000;1;Pre-Seed;SV;Latin America;
CloudMagnuz;Cloud Infrastructure Digital Marketing Information Technology Software;Tepic Nayarit Mexico;CloudMagnuz is a global industry-leading information technology firm.;2022-08-31;1000;1;Pre-Seed;MX;Latin America;
Ozon Mobility;Apps E-Commerce Financial Services FinTech;Mexico City Distrito Federal Mexico;Ozon is the leading Latam e-commerce platform for buying and selling pre-owned motorcycles;2022-05-01;1000;2;Debt Financing;MX;Latin America;Simma Capital 1984 Ventures K50 Ventures Magma Partners Bridge Latam
Rubfy;Cloud Computing Information Technology Internet Software Web Hosting;São Paulo Sao Paulo Brazil;Rubfy is a platform that helps companies integrate systems in the world of cloud computing.;2021-09-24;937;2;Angel;BR;Latin America;Ronald Leandro
OCXCI SAS;Customer Service Professional Services Software;Medellín Antioquia Colombia;we enhance businesses through the use of various technologies increasing the value of human and close experiences;2022-05-15;875;1;Seed;CO;Latin America;
2W Energia;Electrical Distribution Energy Renewable Energy Solar Wind Energy;São Paulo Sao Paulo Brazil;2W Energia is a renewable energy company that offers solar and wind power distribution services.;2022-08-03;52;1;Debt Financing;BR;Latin America;
The Yield Lab LATAM;AgTech Food and Beverage;Buenos Aires Distrito Federal Argentina;Investing in high impact companies in the Latin American AgrifoodTech sector;2021-11-25;;2;Venture - Series Unknown;AR;Latin America;
DinoCloud;Consulting Information Technology;Córdoba Cordoba Argentina;We're leaders in the creation migration and optimization of products deployed in the cloud.;2021-09-23;;1;Venture - Series Unknown;AR;Latin America;Eximer Capital
Lick Co Store;Apparel E-Commerce Fashion Marketing Pet Sales;Puerto Rico Misiones Argentina;Lick Co Store offers various apparel for pets in Puerto Rico.;2020-08-17;;1;Venture - Series Unknown;AR;Latin America;Parallel18
Omics Global Solutions;Biotechnology Health Care Life Science Medical Pharmaceutical;Río Piedras Salta Argentina;Omics Global Solutions provides a platform for development and launch of products related to proteomics and similar substances.;2020-08-12;;1;Venture - Series Unknown;AR;Latin America;Parallel18
ElegirSeguro.com;Commercial Insurance Insurance InsurTech Internet;San Juan San Juan Argentina;ElegirSeguro.com is an operator of an insurance platform that provides digital insurance and insurtech services.;2022-02-14;;4;Venture - Series Unknown;AR;Latin America;MassChallenge Parallel18 Consorcio The Ark Fund Embarca Ventures
Alephee;Automotive E-Commerce Information Services Information Technology Internet Marketing Automation Marketplace Sales Automation Software;Buenos Aires Distrito Federal Argentina;Alephee is a cloud solution that automates and integrates the sales process by standardizing distributor catalogs.;2023-01-01;;6;Venture - Series Unknown;AR;Latin America;Alumni Ventures Y Combinator Soma Capital Hack VC FJ Labs
Nave Bank;B2B Financial Services FinTech Information Technology;Puerto Rico Misiones Argentina;Nave Bank is a digital bank that provides financial solutions for businesses.;2023-08-01;;1;Venture - Series Unknown;AR;Latin America;Nubank Ribbit Capital RED Ventures BayBoston Managers
Genwords;Content Marketing Digital Marketing E-Commerce SEO;Córdoba Cordoba Argentina;Genwords offers e-commerce web positioning inbound marketing digital marketing and content marketing services;2023-01-28;;2;Venture - Series Unknown;AR;Latin America;BDev Ventures Sauzalito Ventures
Carflix;E-Commerce Internet;São Paulo Sao Paulo Brazil;Carflix is a purchase platform and sale of semi-new vehicles.;2020-12-17;;2;Venture - Series Unknown;BR;Latin America;Mercado Libre Fund Banco Votorantim
iCertus;Business Development Information Services Information Technology Software;Curitiba Parana Brazil;ICertus is a software development company that solves the lack of resources the operation and time to manage all stages of a company.;2020-11-17;;2;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Zumpy;Apps Logistics Real Time;Belo Horizonte Minas Gerais Brazil;Zumpy is a route sharing app for logistical solutions.;2020-11-19;;3;Venture - Series Unknown;BR;Latin America;AcceliCITY powered by Leading Cities Bossanova Investimentos BMG UpTech
Refinaria de Dados;Analytics Artificial Intelligence (AI) Market Research;São Paulo Sao Paulo Brazil;Refinaria de Dados offers analytical intelligence for large public and private organizations by using its own artificial intelligence.;2020-09-01;;2;Venture - Series Unknown;BR;Latin America;Darwin Startups Din4mo
Consult;Apps Data Integration Software UX Design;Belo Horizonte Minas Gerais Brazil;Consult provides a platform for online consulting.;2020-10-15;;1;Venture - Series Unknown;BR;Latin America;Varejo Ventures
Openbox.ai;Financial Services FinTech Payments;Florianópolis Santa Catarina Brazil;Openbox.ai is an online platform for the financial management of small and medium-sized companies.;2020-09-01;;1;Venture - Series Unknown;BR;Latin America;Darwin Startups
Neoway;Big Data Data Center Information Services Information Technology Software;Florianópolis Santa Catarina Brazil;Neoway helps businesses to navigate and extract insights for discovering various market opportunities.;2021-09-07;;5;Venture - Series Unknown;BR;Latin America;Accel Endeavor Catalyst monashees Temasek Holdings Upload Ventures
Guiabolso;Consumer Lending Credit Data Mining Financial Services FinTech Personal Finance SaaS;Pinheiros Sao Paulo Brazil;Guiabolso offers both financial management and marketplace app (B2C) and Open Banking SaaS solution (B2B).;2021-12-01;;8;Venture - Series Unknown;BR;Latin America;International Finance Corporation Endeavor Catalyst VEF Omidyar Network Flourish Ventures
Samba Tech;Advertising Audio Content Syndication Enterprise Software Image Recognition SaaS Video Video Streaming;Belo Horizonte Minas Gerais Brazil;Samba Tech is an online platform that develops videos to help companies better communicate with their audience.;2021-11-03;;4;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos Fir Capital José Augusto Schincariol
Mercafacil;Analytics Retail Technology Software;Curitiba Parana Brazil;Mercafacil is customer intelligence software that offers customer management and analytics.;2021-12-03;;3;Venture - Series Unknown;BR;Latin America;TM3 Capital Bossanova Investimentos Z-Tech
FBR Digital;B2B Information Technology Telecommunications;Caruaru Pernambuco Brazil;FBR Digital is a B2B telecommunication company that are focused of providing telecom solution and also digital transformation.;2021-12-14;;1;Venture - Series Unknown;BR;Latin America;Squared Ventures
Dress & Go;E-Commerce Fashion Internet Rental Sustainability;São Paulo Sao Paulo Brazil;Dress & Go is a fashion tech startup that allows women to have a full circular economy experience from resale to rental.;2021-12-20;;4;Venture - Series Unknown;BR;Latin America;Kaszek KPTL A5 Capital Partners
Virgo;Financial Services FinTech;São Paulo Sao Paulo Brazil;Virgo is an ecosystem of services and financial solutions for the capital market.;2021-09-13;;1;Venture - Series Unknown;BR;Latin America;XP Inc
GlobalPoints;Internet Marketing Media and Entertainment Shopping;Barueri Sao Paulo Brazil;GlobalPoints is a solution provider for marketing strategies digital marketing and eco-commerce.;2021-12-09;;1;Venture - Series Unknown;BR;Latin America;
Audaz Tecnologia;Consulting Information Technology Transportation;Nova Lima Minas Gerais Brazil;Audaz Tecnologia provides IT solutions for management transportation vouchers and ABSCard for the automotive industry.;2021-12-09;;1;Venture - Series Unknown;BR;Latin America;
Poupa Certo;Finance Financial Services FinTech Mobile Apps Mobile Payments Payments Personal Finance Wealth Management;São Paulo Sao Paulo Brazil;Poupa Certo is a mobile application that provides solutions for ore savings of their pocket for financial health.;2021-09-10;;1;Venture - Series Unknown;BR;Latin America;Via Varejo
Aprende!;E-Learning EdTech Information Services Internet;Rio De Janeiro Rio de Janeiro Brazil;Aprende! is an e-learning platform that helps high school students prepare for their ENEM exams.;2021-09-01;;2;Venture - Series Unknown;BR;Latin America;500 Global Bossanova Investimentos
Resolvvi;Advice B2C Consulting Legal Legal Tech Logistics;Ceará Ceara Brazil;Resolvvi helps flight passengers receive compensations for flight delays cancellations missed connections and overbookings.;2020-08-14;;3;Venture - Series Unknown;BR;Latin America;DOMO.VC Gvangels Bossanova Investimentos WOW Aceleradora SKBR
Levee;Apps Employment Information Technology Mobile SMS;São Paulo Sao Paulo Brazil;Levee is a hiring and retention solution for service-sector.;2020-02-01;;4;Venture - Series Unknown;BR;Latin America;Alumni Ventures 8VC 500 Startups TheVentureCity Trust Ventures
Armac Locação;Logistics Supply Chain Management Transportation;Cutia Sao Paulo Brazil;Armac provides various types of transportation logistics & supply chain management service.;2020-01-01;;1;Venture - Series Unknown;BR;Latin America;Gávea Investimentos
AgroPro Monitor;Farming;Ponta Grossa Parana Brazil;AgroPro Monitor is a system that helps agricultural professionals identifying monitoring and finding the solution.;2020-04-14;;1;Venture - Series Unknown;BR;Latin America;TM3 Capital
Mettzer;EdTech Education Innovation Management Internet Knowledge Management Payments Software;Florianópolis Santa Catarina Brazil;Mettzer is a platform that centralizes the production of academic and scientific content in educational institutions.;2020-08-06;;2;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Loginfo;Software Software Engineering Warehousing;Itaipava Rio de Janeiro Brazil;Loginfo is a technology startup that offers solutions for the customs and warehouse management sectors.;2020-01-01;;1;Venture - Series Unknown;BR;Latin America;ACE Ventures Bossanova Investimentos
Tem Açúcar?;Social Network;Rio Rio de Janeiro Brazil;Tem Açúcar is a social network based on connection and collaboration between neighbors;2020-08-14;;1;Venture - Series Unknown;BR;Latin America;Parallel18
321 Beauty;Beauty Customer Service;São Paulo Sao Paulo Brazil;321 Beauty provides beauty services in offices condos and street salons.;2020-03-01;;1;Venture - Series Unknown;BR;Latin America;Igah Ventures
Aurratech;Machinery Manufacturing Manufacturing Wellness;Santo André Sao Paulo Brazil;Aurratech is a Brazilian corporation with offices in five countries that invented the innovative FIP (Fog In Place) technology.;2020-04-23;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos SMU Investimentos
a55;Finance Financial Services FinTech Information Technology;São Paulo Sao Paulo Brazil;A55 is a developer of a financial underwriting platform used to offer a credit line system to companies with recurring revenue.;2024-06-11;;8;Venture - Series Unknown;BR;Latin America;Santander Bank Movile Accial Capital TM3 Capital Mouro Capital
Pipo Saúde;Health Care;São Paulo Sao Paulo Brazil;We are a platform that sells and manages healthcare benefits (from your healthcare plan to your fitness benefit).;2024-04-11;;4;Venture - Series Unknown;BR;Latin America;Thrive Capital Kaszek FJ Labs monashees Atlantico
PayHop;Credit Financial Exchanges Payments Transaction Processing;São Paulo Sao Paulo Brazil;PayHop is a technological platform that provides payments in its commercial transactions.;2024-02-02;;2;Venture - Series Unknown;BR;Latin America;DOMO.VC Experian Ventures Serasa Experian Citrino Ventures Citrino Gestão de Recursos
Inspira AI;Artificial Intelligence (AI) Generative AI Legal Tech;São Paulo Sao Paulo Brazil;Inspira is Brazil's smartest legal AI assistant;2024-10-10;;2;Venture - Series Unknown;BR;Latin America;a16z Scout Fund Urca Angels SF Angels Group Vivo Ventures Gávea Angels
StopClub;Communities Mobile Apps Social Network;Rio De Janeiro Rio de Janeiro Brazil;StopClub is a social fintech for gig workers.;2024-03-06;;4;Venture - Series Unknown;BR;Latin America;Canary Redpoint eventures Raio Capital Andréa Nogueira CFA
Haoma;Confectionery Snack Food;Divinópolis Minas Gerais Brazil;Haoma offers exclusive chocolates and sweets.;2024-03-06;;1;Venture - Series Unknown;BR;Latin America;Moriah Asset Baraúna Venture Capital
Colab.re;Communities Government Information Technology Politics Software;São Paulo Sao Paulo Brazil;Colab.re operates as a citizen-to-government engagement platform.;2023-12-12;;6;Venture - Series Unknown;BR;Latin America;Omidyar Network Luminate KPTL EDP Ventures Govtech Fund
Alice;Health Care Health Insurance Medical Primary and Urgent Care;São Paulo Sao Paulo Brazil;Alice is a tech company that makes people healthier through primary care-driven health insurance.;2022-11-22;;6;Venture - Series Unknown;BR;Latin America;SoftBank Google for Startups Endeavor StepStone Group Kaszek
NeuralMed;Artificial Intelligence (AI) Health Care;São Paulo Sao Paulo Brazil;NeuralMed uses Artificial Intelligence to optimize and streamline decision making in healthcare;2022-11-16;;3;Venture - Series Unknown;BR;Latin America;Inter American Development Bank Norte Ventures Alexia Ventures Kortex Ventures Yaya Capital
Prol Educa;Education Payments Social Assistance;Jaboatão Pernambuco Brazil;Prol Educa is an educational inclusion program that provides student with access to partial scholarships.;2022-12-12;;3;Venture - Series Unknown;BR;Latin America;Google for Startups Anjos do Brasil Gvangels Investe Favela
Worldpackers;Hospitality Marketplace Tourism Travel;São Paulo Sao Paulo Brazil;Worldpackers is a social travel marketplace for people to find unique places where they can exchange their skills for accommodation.;2022-10-20;;4;Venture - Series Unknown;BR;Latin America;Goodwater Capital Barn Investments Indicator Capital Beta Ventures Bob Rossato
Certus Software;Computer Information Technology Management Information Systems Security Software;Curitiba Parana Brazil;Certus Software offers technological solutions for business management.;2022-09-02;;2;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos Poli Angels Esdanio Nilton Pereira
Mitfokus;Accounting Finance Financial Services;Campina Sao Paulo Brazil;Mitfokus offers financial tax and accounting solutions for companies in the healthcare industry.;2022-09-02;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Mais Controle;B2B B2C Construction Management Information Systems Project Management SaaS Software;Juiz De Fora Minas Gerais Brazil;Mais Controle provides online management software for micro and small construction companies.;2022-09-02;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
TuTu Digital;Financial Services FinTech Impact Investing Lending Peer to Peer;São Paulo Sao Paulo Brazil;TuTu Digital is a financial services technology company that provides investment services.;2022-10-01;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Instanteaser;Digital Media Marketing Social Media Marketing Video;Rio De Janeiro Rio de Janeiro Brazil;Instanteaser produces personalized short videos in scale with high engagement potential and contracted through monthly subscriptions.;2022-11-01;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Fiscontech;Service Industry Software;Ji-paraná Rondonia Brazil;Fiscontech offers software that automates fiscal and tax tasks and processes.;2022-09-02;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Nina Saúde;Health Care Health Diagnostics Wellness;Victoria Espirito Santo Brazil;Nina Saúde offers a wide range of exams and tests to improve everyone's relationship with health.;2022-10-04;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
NFTrend;Blockchain Marketplace;Barueri Sao Paulo Brazil;NFTrend is an NFT marketplace in Brazil that allows the user to create and market with just a click.;2022-10-04;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Fiscal Cripto;Accounting Cryptocurrency Financial Services;São Paulo Sao Paulo Brazil;Fiscal Crypto is a cryptocurrency platform.;2022-09-30;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
QUESTTONO Manyone;Brand Marketing Graphic Design UX Design;São Paulo Sao Paulo Brazil;QUESTTONO Manyone is a design consultancy that offers organizations brand strategy UX and graphics design services.;2022-12-26;;1;Venture - Series Unknown;BR;Latin America;BeeCap
OnMovie;Content Video Video Editing;Recife Bahia Brazil;OnMovie is a platform that connects producers and video editors.;2022-09-08;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Board Ventures;;São Paulo Sao Paulo Brazil;Corporate Venture Builder - partnership between FCJ and Board Academy;2022-12-10;;1;Venture - Series Unknown;BR;Latin America;Rafael Santos
Sonoma Market;B2C E-Commerce Food and Beverage Marketplace Wine And Spirits;São Paulo Sao Paulo Brazil;The Shopify for food and beverage in Latin America. A B2C marketplace with fulfillment and financial services;2022-08-25;;3;Venture - Series Unknown;BR;Latin America;Goodwater Capital Augusto Caceres
Beaver Soluções Tecnológicas;Artificial Intelligence (AI) B2B Credit Information Technology Legal Tech Machine Learning Natural Language Processing Real Estate SaaS;São Paulo Sao Paulo Brazil;Beaver is a AI platform that processes complex documents with NLP algorithms.;2022-05-30;;4;Venture - Series Unknown;BR;Latin America;Google for Startups CapTable Darwin Startups Prana Capital
Aeroscan;Drone Management Drones Security Software;São Paulo Sao Paulo Brazil;Aeroscan specialized in automated drone monitoring systems.;2022-07-01;;3;Venture - Series Unknown;BR;Latin America;EqSeed Bossanova Investimentos
Smartia;Auto Insurance B2C Information Technology Insurance InsurTech;São Paulo Sao Paulo Brazil;Smartia is an insurtech company that offers auto health life and travel insurance services.;2022-03-09;;5;Venture - Series Unknown;BR;Latin America;500 Global
Closecare;Health Care Information Technology Internet Software;São Paulo Sao Paulo Brazil;Closecare is a platform that helps companies collect physical docs automate workflows and share information with multiple stakeholders.;2022-03-14;;3;Venture - Series Unknown;BR;Latin America;DOMO.VC Bossanova Investimentos Green Rock
Atendare;CRM Marketing Social Media Marketing Software;Três De Maio Rio Grande do Sul Brazil;Atendare is a marketing and sales platform that helps businesses increase online traffic boost sales and improve relationships.;2022-05-24;;2;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos WOW Aceleradora
Hallo Assembly;Apps Banking Customer Service Events FinTech Information Technology Mobile;Blumenau Santa Catarina Brazil;We develop the best experience for online assemblies;2022-05-13;;2;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Wellbe.co;Fitness Health Care Wellness;Curitiba Parana Brazil;Wellbe.co is a health management platform that manages health plans and reduces operational work.;2022-07-01;;3;Venture - Series Unknown;BR;Latin America;ACE Ventures Bossanova Investimentos
Pague Bem Brasil;Computer Credit Software;Pernambuco Pernambuco Brazil;Pague Bem Brasil is a digital credit recovery platform.;2022-08-10;;2;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos SuperJobs
Umentor;Employment Human Resources Online Portals Training;Passo Fundo Rio Grande do Sul Brazil;Umentor is a HR platform that offers corporate training evaluation and recruiting services.;2022-06-01;;2;Venture - Series Unknown;BR;Latin America;VENTIUR Bossanova Investimentos
Becon - Be connected;Advertising Information Technology Internet;Joinville Santa Catarina Brazil;Becon brings the digital transformation to your retail. Interact with your customers and automate services with our offline2online concept.;2022-05-24;;2;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos WOW Aceleradora
Umbu Games;Gaming iOS Mobile Apps;Belo Horizonte Minas Gerais Brazil;Umbu Games is a developer of games and cross - platform advergames.;2022-05-24;;2;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos GameFounders
Wap;Consumer Goods Facilities Support Services Facility Management;Eusébio Ceara Brazil;Wap is a facility management company that provides a wide range of cleaning and maintenance solutions including domestic cleaning upheaval.;2022-02-01;;1;Venture - Series Unknown;BR;Latin America;PIPO Capital
Bússola Social;Information Technology Project Management Social;Itajaí Santa Catarina Brazil;Bússola Social is an information technology company that offers social investment and project management services.;2022-08-30;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Suno Research;Consulting Financial Services Real Estate Investment;São Paulo Sao Paulo Brazil;Suno Research is an investment analysis and consulting service company.;2022-01-04;;1;Venture - Series Unknown;BR;Latin America;XP Inc
WiFeed;Advertising Information Technology Marketing;Florianópolis Santa Catarina Brazil;WiFeed is a marketing and data intelligence solution company.;2022-05-20;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Receiv;Business Intelligence Information Technology Software;São Paulo Sao Paulo Brazil;Plataforma de cobrança e contas a receber | Intelligent accounts receivable system;2022-03-08;;3;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos Darwin Startups
FideliZi!;Customer Service Loyalty Programs Marketing;Campina Sao Paulo Brazil;FideliZi provides loyalty and relationship marketing solution for small retail businesses.;2022-05-27;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Ponto Facil;Consulting Finance Financial Services FinTech;São Paulo Sao Paulo Brazil;Ponto Facil is a financial firm that provides fintech solutions digital inclusion franchising and consulting services.;2022-04-10;;1;Venture - Series Unknown;BR;Latin America;Darwin Startups
Alfred Delivery;Apps Delivery Task Management;Ribeirão Prêto Minas Gerais Brazil;Alfred delivery is a personal assistant that helps bringing solutions for mobility and ease in task management.;2022-01-18;;1;Venture - Series Unknown;BR;Latin America;7stars Ventures
MeVeste;Apparel Consumer Goods Fashion Retail;Santa Cruz Do Capibaribe Pernambuco Brazil;MeVeste is an online store that offers a wide range of fashion and apparel products.;2022-08-18;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Cont.Digital;Accounting Asset Management Information Services Information Technology;Santa Maria Rio Grande do Sul Brazil;Cont.Digital is a digital accounting company that provides accounting services to micro and small companies.;2022-05-24;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
4Student;Real Estate Rental Property Residential;São Paulo Sao Paulo Brazil;4Student is the first student platform that engages in providing experiences and connections for students.;2022-02-25;;2;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Reachr;Artificial Intelligence (AI) Employment Machine Learning Recruiting;São Paulo Sao Paulo Brazil;Reachr uses artificial intelligence machine learning and know-how in recruitment to simplify a company's selection processes.;2022-08-10;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
FanBase;Analytics Digital Entertainment Digital Marketing Marketing Media and Entertainment Software;São Paulo Sao Paulo Brazil;FanBase identifies understands and activates your fans’ data from a centralized platform and maximizes business for your organization.;2022-04-27;;1;Venture - Series Unknown;BR;Latin America;DOMO.VC Bossanova Investimentos
ProBrain;Fitness Wellness;São Paulo Sao Paulo Brazil;ProBrain innovates solutions to stimulate brain connections and improve the focus memory attention and communication skills of all people.;2022-06-01;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Vesti;E-Commerce Fashion Information Technology Wholesale;São Paulo Sao Paulo Brazil;Vesti is a firm that serves the wholesale fashion industry and offers solutions for our customers to increase their online sales.;2022-01-14;;2;Venture - Series Unknown;BR;Latin America;Equity Rio Investimentos WOW Aceleradora Aimorés Investments Smart Money Ventures
Parças Developers School;EdTech Education Social Impact;São Paulo Sao Paulo Brazil;Parças is a social impact EdTech company that teaches programming to the underprivileged and helps companies to hire talents.;2022-06-01;;2;Venture - Series Unknown;BR;Latin America;Nubank Bossanova Investimentos
Pilar;Property Management Real Estate Real Estate Brokerage Rental Property;São Paulo Sao Paulo Brazil;Pilar provides real estate brokerage services.;2022-06-22;;1;Venture - Series Unknown;BR;Latin America;Goodwater Capital
Bolsa OTC;Asset Management Financial Services FinTech Trading Platform;Barueri Sao Paulo Brazil;Bolsa OTC develops a digital asset trading platform to trade assets through the home broker tool.;2022-01-01;;1;Venture - Series Unknown;BR;Latin America;Goldstreet Venture Capital
Zabit;Financial Services FinTech Information Technology Software;São Paulo Sao Paulo Brazil;Zabit develops a money laundering prevention platform to help monitor the compliance team with a competitive edge.;2022-04-10;;1;Venture - Series Unknown;BR;Latin America;Darwin Startups
Deduz;Finance Financial Services FinTech Sharing Economy;São José Santa Catarina Brazil;Deduz is a developer of a cashback application to help local commerce.;2022-04-10;;1;Venture - Series Unknown;BR;Latin America;Darwin Startups
Connected Employment;Employment Mobile Apps Staffing Agency;São Paulo Sao Paulo Brazil;Connected Employment is a mobile application that offers job vacancies for candidates based on geolocation.;2022-07-20;;1;Venture - Series Unknown;BR;Latin America;500 Global
Lemobb;Apps Information Technology Software;São Paulo Sao Paulo Brazil;Lemobb is an application development company that provides products for start-ups small and medium sized companies.;2022-07-15;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
IDid;E-Commerce E-Commerce Platforms Information Technology Payments;São Paulo Sao Paulo Brazil;IDid provides software solutions for online payments for eCommerce businesses.;2022-04-10;;1;Venture - Series Unknown;BR;Latin America;Darwin Startups
Oficina de Valor;Analytics Business Information Systems Business Intelligence Information Services Marketing Marketing Automation;São Paulo Sao Paulo Brazil;Oficina de Valor is an information services company that turns data into insights and intelligent execution in business.;2022-05-24;;1;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
Kapture;Financial Services Impact Investing Information Technology;São Paulo Sao Paulo Brazil;Kapture provides a full-service platform for exclusive investment operations in high-performance private companies.;2022-02-04;;1;Venture - Series Unknown;BR;Latin America;Darwin Startups
B2 Capital;Banking Finance Financial Services FinTech Insurance Software;São Paulo Sao Paulo Brazil;B2Capital offers an online platform for the management of product exchange and accounts payable.;2022-05-13;;2;Venture - Series Unknown;BR;Latin America;Bossanova Investimentos
QuintoAndar;Internet Property Management Real Estate Rental Software;São Paulo Sao Paulo Brazil;QuintoAndar is a platform that simplifies the rental of residential real estate for landlords and renters.;2023-08-02;;9;Venture - Series Unknown;BR;Latin America;SoftBank Tencent Dragoneer Investment Group Greenoaks Kaszek
