StartupName;Industries;HeadquartersLocation;Description;LastFundingDate;LastFundingAmount;NumberofFundingRounds;LastFundingType;StartupCountry;GeographyRegion;Top5Investors
Morfy;Mobile Mobile Payments Software;Buenos Aires Distrito Federal Argentina;A community-driven social marketplace powered by AI to change the way people find out new gastronomic proposals.;2023-10-15;350000;2;Pre-Seed;AR;Latin America;Platanus MrPink VC
Qubik Logtech;Apps Logistics Shipping Software;Córdoba Cordoba Argentina;Qubik Logtech serves as a comprehensive logistics platform that aims to streamline global shipping and supply chain processes.;2023-03-01;350000;1;Pre-Seed;AR;Latin America;Alchemist Accelerator Start-Up Chile
Nimbus;Artificial Intelligence (AI) Retail Technology SaaS Software;São Paulo Sao Paulo Brazil;Nimbus is an artificial intelligence platform provides salespeople with scripts insights and automations.;2020-01-01;350000;1;Pre-Seed;BR;Latin America;Jose Paulo de Castro Emsenhuber
Juri Capital;Credit Financial Services FinTech Legal Tech;São Paulo Sao Paulo Brazil;Finance Credit Fintech;2024-03-01;350000;1;Pre-Seed;BR;Latin America;
Force Cloud AI;Artificial Intelligence (AI);São Paulo Sao Paulo Brazil;Force Cloud AI is a research laboratory dedicated to harnessing the capabilities of artificial intelligence to develop innovation.;2022-03-09;350000;1;Pre-Seed;BR;Latin America;Ultra Studio
Devpass;Artificial Intelligence (AI) Education Information Technology Software;São Paulo Sao Paulo Brazil;Revolutionize Developer Training with Devpass AI Experience;2023-06-15;350000;1;Pre-Seed;BR;Latin America;Techstars B Venture Capital Juliano Dutra
Solus;;Panama City Panama Panama;Crypto options and futures trading;2023-09-10;350000;1;Pre-Seed;PA;Latin America;BitMEX
The Climate Box;Agriculture Farming Information Technology Software;Montevideo NA - Uruguay Uruguay;The Climate Box provides educational materials and frost forecasting tools to farmers and agricultural companies to manage risk of frost.;2023-02-13;350000;1;Pre-Seed;UY;Latin America;The Yield Lab LATAM Label Investments
AppJusto;Food Delivery;São Paulo Sao Paulo Brazil;AppJusto is a platform that aims to create more equitable and balanced interactions for all parties engaged in the delivery ecosystem.;2022-06-20;346914;2;Equity Crowdfunding;BR;Latin America;
InHouse Market;E-Commerce Franchise Retail Technology;Ceará Ceara Brazil;InHouse Market provides technology for 24/7 autonomous minimarkets within the condomium and businesses offices in Brazil;2021-10-09;342536;2;Pre-Seed;BR;Latin America;CapTable
Carenet Longevity;Health Care Information Technology Internet of Things mHealth Wearables;São Paulo Sao Paulo Brazil;Carenet focuses on IoMT (Internet of Medical Things) interoperability and orchestration of patient telemetry data.;2020-05-15;341491;3;Series A;BR;Latin America;Wayra KPTL
Perfect Race;Health Care Sports;Nova Brasília Rio de Janeiro Brazil;Perfect Race is a sports app.;2022-04-08;340455;1;Seed;BR;Latin America;Bossanova Investimentos CapTable
S2 Pets;Pet Retail;São Paulo Sao Paulo Brazil;S2 Pets is a group of small-scale pet stores.;2022-01-01;340000;2;Seed;BR;Latin America;DOMO.VC Caravela Capital Bossanova Investimentos FEA Angels
AlterEstate;CRM Lead Management Property Management Real Estate Software;Santo Domingo Distrito Nacional Dominican Republic;AlterEstate is an all-in-one cloud solution for real estate agencies that helps them close more sales and manage all the properties.;2022-11-01;340000;2;Seed;DO;Latin America;500 Global Enlaces Venture Do
Grupo Oruss;Consulting Information Technology Internet Software;Bogotá Distrito Especial Colombia;Innovation and cybersecurity in harmony. We safeguard your present we secure your future.;2020-06-14;337588;1;Series A;CO;Latin America;
Postmetria;Big Data Market Research Social Network Software;Porto Alegre Rio Grande do Sul Brazil;Postmetria is an online platform for monitoring customer satisfaction with the Spontaneous NPS metric.;2022-06-15;336367;4;Seed;BR;Latin America;VENTIUR
Keiken;Information Technology Wellness;São Paulo Sao Paulo Brazil;Benefit Tech;2022-03-01;335000;1;Pre-Seed;BR;Latin America;Honey Island Capital
Auster Tecnologia;AgTech Farming;Rio Grande Do Sul Rio Grande do Sul Brazil;Auster Tecnologia develops nitrogen management technologies.;2022-06-13;332356;2;Equity Crowdfunding;BR;Latin America;CapTable
Bits;Legal Tech SaaS Software UX Design;São Paulo Sao Paulo Brazil;Legal Documents made clear for any person through design;2024-07-12;330000;4;Venture - Series Unknown;BR;Latin America;Anjos do Brasil Bossanova Investimentos Insper Angels Quintal Ventures Harvard Business School Alumni Angels of Brazil
Pin People;Big Data Human Resources Predictive Analytics;São Paulo Sao Paulo Brazil;Pin People is the 1st Employee Experience (EX) management platform in Brazil.;2020-08-31;325875;3;Pre-Seed;BR;Latin America;DOMO.VC
Peruvian Veef;Alternative Protein E-Commerce Food and Beverage Plant-Based Foods Snack Food;Perú Valle del Cauca Colombia;Peruvian Veef is an offline and online store that offers real burgers grilled seitan crispy cravings and vegan nugget products.;2024-05-22;320000;2;Pre-Seed;CO;Latin America;StartUp Perú Sustainable Food Ventures Ahimsa Foundation
brigadeiro;Apps Food and Beverage;Barueri Sao Paulo Brazil;Brigadeiro is a digital brigaderia in Brazil that leverage micro-entrepreneurs to have an online candy business.;2022-05-30;315550;1;Undisclosed;BR;Latin America;
Credifit;Artificial Intelligence (AI) Banking Bookkeeping and Payroll Credit Financial Services FinTech Human Resources Information Technology Machine Learning Software;Salvador Sao Paulo Brazil;Credifit is a Brazilian fintech startup offering credit solutions BaaS CaaS and escrow accounts powered by AI and machine learning.;2023-01-31;315352;3;Seed;BR;Latin America;FIP Maxpar Ybatinga Holding Financeira Ltda.
Mayla;;São Paulo Sao Paulo Brazil;AI powered assistant helping solopreneurs in LatAm organize their busy agendas and payments.;2022-04-01;315000;1;Angel;BR;Latin America;
ESG Now;CleanTech SaaS Software;Taquara Rio Grande do Sul Brazil;SaaS ESG management platform;2024-08-21;310758;2;Pre-Seed;BR;Latin America;DOMO.VC VENTIUR Ventiur Angels Wallet CVC COMUNITÁ
Oasis Group;Electric Vehicle Transportation;Antioquia Antioquia Colombia;Oasis Group is a Technology and infrastructure at the service of electric mobility.;2023-04-13;309879;1;Seed;CO;Latin America;Auteco Mobility
Workhub Digital;Human Resources Productivity Tools SaaS Software;São Paulo Sao Paulo Brazil;Subscription intranet ready to be installed on Microsoft Sharepoint with 50+ features and integrations with Teams Viva and Yammer.;2023-08-30;306755;2;Pre-Seed;BR;Latin America;VENTIUR Meta Ventures Ventiur Mentori Participações
Mercado GenGanar;AgTech Digital Marketing E-Commerce Platforms;Rio Cuarto Cordoba Argentina;Mercado GenGanar is an online animal genetics marketplace.;2021-12-02;305000;1;Pre-Seed;AR;Latin America;Incutex Company Builders Pampa Start Alitek Sergio Asis
SolarZ;Consulting Information Services Information Technology Solar;Mossoró Rio Grande do Norte Brazil;SolarZ offers a solar plant monitoring system and after-sales management for photovoltaic integrators.;2022-04-28;303687;2;Pre-Seed;BR;Latin America;DOMO.VC Bossanova Investimentos
Taxcel;Computer FinTech Taxi Service;São Paulo Sao Paulo Brazil;Taxcel is a fintech company which provides solutions to tax payers.;2023-05-06;302841;3;Seed;BR;Latin America;EqSeed
bebook;Software;Ilhéus Bahia Brazil;StartUp;2023-08-25;300000;2;Venture - Series Unknown;BR;Latin America;Lighthouse LIGHTHOUSE
Recylink;Developer Platform GreenTech Software Waste Management;Las Condes Region Metropolitana Chile;Recylink is the platform for the sustainable management of industrial waste.;2021-10-15;300000;1;Undisclosed;CL;Latin America;Katapult
CrystalZoom;Advertising E-Commerce Information Technology Marketplace;Buenos Aires Distrito Federal Argentina;Advertising Solution provider for merchants and marketplaces in latam.;2020-01-01;300000;1;Seed;AR;Latin America;
JurisHand;EdTech Legal Tech;São Paulo Sao Paulo Brazil;JurisHand is an app that helps to access laws precedents case law and legal concepts.;2021-12-20;300000;1;Seed;BR;Latin America;Rafael Duton
Makers;Advertising Platforms;São Paulo Sao Paulo Brazil;Makers is a platform that connects entrepreneurs and brands through education and the exchange of experiences.;2020-01-10;300000;1;Seed;BR;Latin America;WPP
HomeIn;Consulting Financial Services PropTech Real Estate Software;Santiago Region Metropolitana Chile;The first housing ecosystem that integrates home solutions and services through a platform with the best financing alternatives.;2023-04-30;300000;2;Seed;CL;Latin America;EBCO Kunder (Acquired by Betterfly) Octavio Pérez de Arce José Montero Echeverría Diego Kuri
Mi Compa;Financial Services FinTech InsurTech;León Guanajuato Mexico;Mi Compa offers insurance solutions that combine cutting-edge technology traditional products and digital processes.;2022-08-12;300000;5;Seed;MX;Latin America;AngelHub VC G2 Momentum Capital Hatch
